ad_index,ad_id,ad_product,domain,subdomain,vague_query,product_id,user_search_query,ad_title,ad_description,url,seller,brand,label,image_id
2084,225841,"Cosmas Satin Nickel Door Hinge 4"" with 5/8"" Radius Corners: 37649",Home Improvement,Hardware,What are some durable options for door hinges with a modern finish?,3918892,door hinges hardware,"Cosmas Satin Nickel Door Hinge 4"" with 5/8"" Radius Corners: 37649","See Image Belowto help determine which radius will suit your needs.Finish: Satin NickelWidth: 4"" Height: 4"" Corners: 5/8"" Knuckles: 5 Pin: Removable Screws Included Durable Construction Sold Individually",discounthomefurnishings.com,Discount Home Furnishings,Cosmas,1,[IMG_CATEID_279]
2085,246475,"Weather Tech 450281 99-06 Silverado/Sierra Standard Cab Front Floorliner, Tan, Beige",Automotive,Car Accessories,What are some effective ways to protect my car's interior from dirt and debris?,2591964,weather,"Weather Tech 450281 99-06 Silverado/Sierra Standard Cab Front Floorliner, Tan, Beige","Get extreme protection from mud, snow, rain, sand or anything you drag in with WeatherTech extreme-duty digital fit floorliners. Thanks to the deep-well design and precision digital measurements, WeatherTech extreme-duty floorliners deliver absolute interior protection. Multi-level channels carry debris and fluids away from your feet. Then, the extreme-duty digital fit floorliner's deep reservoir traps the muck below the raised ridges giving you safe, sure footing. And, the over-the-rocker-panel cut means fluids and debris are easily removed from the WeatherTech digital fit floor mats. Color: Beige. Gender: Unisex. Age Group: Adult.",walmart.com,Walmart,Weather Tech,0,[IMG_CATEID_2965]
2086,3517381,"HOKA Women's Clifton 5 Road Running Shoes in Green-Blue Slate/Canton, Size 6",Sports & Outdoors,Running Shoes,What are some comfortable options for women's running shoes that offer good cushioning and support?,1980611,best running shoes for neuroma,"HOKA Women's Clifton 5 Road Running Shoes in Green-Blue Slate/Canton, Size 6","True to its award-winning heritage, the Clifton 5 is light, cushy, and very, very fast. Central to its design is the famed HOKA ONE ONE® midsole geometry and a trusted foam package to ensure consistent cushioning through the life of the shoe. Combined with the forgiving and adaptive forefoot, were talking a smooth, smooth ride. And to top it all, the 5 has a clean, engineered mesh upper to optimize breathability and comfort. Go in comfort and speed.",hokaoneone.com,HOKA,HOKA,1,[IMG_CATEID_323]
2087,225624,"FORMICA 4 ft. x 8 ft. Laminate Sheet in Weathered Fiberwood with Natural Grain Finish, Weathered Fiberwood Natural Grain",Home Improvement,Surface Materials,What are some durable options for modern surface materials in home renovation?,2117373,3691-58 laminate,"FORMICA 4 ft. x 8 ft. Laminate Sheet in Weathered Fiberwood with Natural Grain Finish, Weathered Fiberwood Natural Grain","Formica Brand Laminate transforms spaces with our modern laminates that are as beautiful as they are durable. Formica Group provides the surfaces that fuse beautiful design with purposeful functionality. Formica Products provide versatile surfacing solutions that are inspired by and adapt to the way people live, work and play. Color: Weathered Fiberwood Natural Grain.",homedepot.com,Home Depot,FORMICA,1,[IMG_CATEID_112]
2088,1754918,"HD Wheels SPINOUT Gloss Black (17"" x 7"", +40 Offset, 5x114.3 Bolt Pattern, 73.1mm Hub)",Automotive,Car Accessories,How can I enhance the look of my car with stylish wheels?,475766,wheels and tires,"HD Wheels SPINOUT Gloss Black (17"" x 7"", +40 Offset, 5x114.3 Bolt Pattern, 73.1mm Hub)","SPINOUT Gloss Black Wheels by HD WHEELS. 17"" x 7"", +40 Offset, 5x114.3 Bolt Pattern, 73.1mm Hub. Want your vehicle to stand out from the rest of the rolling masses? Give it a unique personalized touch by dressing it up with these premium HD Wheels! Designed with elegance and sophistication in mind, they offer that refined style, that will make jaws drop as you pass by. These wheels are available in different finishes, so you can choose the ones that will ideally complement your auto.",carid.com,CARiD.com,HD Wheels,1,[IMG_CATEID_3187]
2089,3441516,Oem Polaris Replacement Battery PVS35,Home & Garden,Pool Equipment & Accessories,Where can I find reliable replacement parts for my pool equipment?,4554619,polaris battery,Oem Polaris Replacement Battery PVS35,"Replacement Pool Part for S35, S35",poolpartsonline.com,PoolPartsOnLine,Polaris®,1,[IMG_CATEID_327]
2090,2439497,3 to 3 1/2 pound Live Maine Lobsters!,Food & Beverages,Seafood,Where can I find fresh seafood for a special occasion?,1767610,lobsters marijuana,3 to 3 1/2 pound Live Maine Lobsters!,"This is a bigger ""Select"" Size Lobster! This Lobster will feed TWO people! (Well, one if you don't share!) A Great Gift Idea, for Holidays, Anniversaries, Birthdays or Corporate Gift Idea! Note: Price is per Lobster.(Minimum of Two) Please enter quantity upon checkout!",thelobsterguy.com,The LobsterGuy,TheLobsterGuy,0,[IMG_CATEID_3007]
2091,2628810,Forever 21 Motel Sequin Self-tie Top - White - Sleeveless tops,Fashion & Apparel,Women's Tops,Where can I find stylish sleeveless tops for a night out?,4133274,forever 21 white peasant top,Forever 21 Motel Sequin Self-tie Top - White - Sleeveless tops,"Women's Forever 21 Motel Sequin Self-tie Top - White - Sleeveless tops Available for shipment exclusively within the U.S. A knit top by MotelTM featuring an allover sequin construction, a round neck, sleeveless cut, adjustable cami straps, and a self-tie crisscross back. 100% polyester. Hand wash cold. Made in China.",dartsearch.net,Lyst.com,Forever 21,0,[IMG_CATEID_2668]
2092,2308582,Life Stride Women's Sable Pump Tan Pump 6.5 E,Fashion,Women's Footwear,What are some stylish and comfortable options for women's dress shoes?,3209412,lifestride shoes,Life Stride Women's Sable Pump Tan Pump 6.5 E,"*The basic pump put in shape with today's fashions *Shiny, smooth or snake-print urethane upper *Soft tricot lining *Foam cushioned insole *Flexible polyurethane sole *2"" covered heel",ebay.com,ShoeMall,Life Stride,1,[IMG_CATEID_323]
2093,360316,2 Gauge AWG Negative Battery Cable Top Post 9 inch NEG- one side only,Automotive,Battery Accessories,What are essential components for improving vehicle battery connections?,957276,cleaning side post battery cables,2 Gauge AWG Negative Battery Cable Top Post 9 inch NEG- one side only,2 AWG Gauge battery cable made from real copper with top post negative terminal,batterycablesusa.com,Battery Cables USA,Battery Cables USA,0,[IMG_CATEID_1830]
2094,3513181,"Furman Pro Plug 6-Outlet Power Strip with Surge Protection, Home/Office, Protector, 15', 500, Color Black, No Features",Electronics,Power Accessories,What are some reliable options for surge-protected power strips for home or office use?,2238959,furman power strip,"Furman Pro Plug 6-Outlet Power Strip with Surge Protection, Home/Office, Protector, 15', 500, Color Black, No Features","6 Outlets, Steel Construction, EMI/RFI Filtration, 15' Power Cord, 540 Joules, Diagnostic Lights Provide power to six compatible devices with the Pro Plug 6-Outlet Power Strip from Furman. This six-outlet power strip features heavy-duty steel construction 540 joules of surge protection electromagnetic and radio-frequency filtration and a captive 15' power cord. Diagnostic lights display the status of the outlets.",bhphotovideo.com,B&H Photo-Video-Pro Audio,Furman,1,[IMG_CATEID_920]
2095,2568087,Happy Family - Organic Baby Food Stage 3 Meals Ages 7+ Months Chick Chick - 4 oz.,Food & Beverages,Baby Food,What are some healthy meal options for babies around 7 months old?,3363821,baby foo,Happy Family - Organic Baby Food Stage 3 Meals Ages 7+ Months Chick Chick - 4 oz.,Happy Family - Happy Baby Organic Baby Food Chick Chick Stage 3 Balanced Meals 7+ Months - 4 oz. (114g) Happ,luckyvitamin.com,LuckyVitamin.com,Happy Family,1,[IMG_CATEID_2954]
2096,2289645,Tiffany Style Small Arielle Accent Lamp By Warehouse Of Tiffany 3148+sb33 / Tiffany Style Small Arielle Accent Lamp by Warehouse of Tiffany 3148+SB33 - Free Ground Shipping,Home & Garden,Lighting,Can you recommend some stylish accent lamps for my living room?,3276061,small waterford crystal lamps,Tiffany Style Small Arielle Accent Lamp By Warehouse Of Tiffany 3148+sb33 / Tiffany Style Small Arielle Accent Lamp by Warehouse of Tiffany 3148+SB33 - Free Ground Shipping,Tiffany Style Small Arielle Accent Lamp by Warehouse of Tiffany 3148+SB33,peazzlighting.com,Peazz Lighting,Warehouse of Tiffany,0,[IMG_CATEID_1774]
2097,1764663,"Paper Mart Masking Tape - 1/2"" X 60 Yards - 4.9 mil thick - Adhesive Tape",Office Supplies,Adhesive Tapes,What are some versatile types of tape that can be used for various projects and tasks?,1922499,adhesive tape,"Paper Mart Masking Tape - 1/2"" X 60 Yards - 4.9 mil thick - Adhesive Tape","We specially picked this nice ivory colored 4.9 mil general purpose masking tape as the best value of quality and price we could find. It is great for holding, bundling, sealing, general paint masking and a vast number of other jobs where a pressure-sensitive tape is needed. Try it. We know you will like it.",papermart.com,Paper Mart,Paper Mart,1,[IMG_CATEID_301]
2098,1227877,"52"" Brinker Urban 5 - Blade Caged Ceiling Fan with Light Kit Included with Remote Control Accessories: No Remote",Home & Garden,Ceiling Fans,What are some stylish options for ceiling fans that also provide good lighting?,1860631,wicker ceiling fan with light,"52"" Brinker Urban 5 - Blade Caged Ceiling Fan with Light Kit Included with Remote Control Accessories: No Remote","null Zander is industrial and fresh; dark caged metal encases the brown liner and exposes the 2 LED bulbs (included). Illuminate your room in style with this rustic ceiling fan. Two (2) LED E26, 8W/40W equivalent warm white light bulbs (included). Use a cool bulb if brighter white ambiance is preferred. Five (5) wood grain textured blades allow for maximum air movement and are reversible. One side features a rich farmhouse barnwood distressed brown finish, while the opposite side features a lighter driftwood brown color. A 12.25"" pull chain switches allows for manual power off/on, light operation, and three-speed motor (reversible). Includes remote control for ease and convenience, featuring buttons for blade speed and light operation. Installation options are included: overall height is 14.25"" (flush mount) and 19.25"" (down rod). This item must be hardwired and installed by a qualified electrician. Accessories: No Remote",birchlane.com,Birch Lane,Other,1,[IMG_CATEID_253]
2099,536238,"Office Depot Brand Copy Print Paper, Letter Size Paper, 20 Lb, 500 Sheets Per Ream, Case Of 10 Reams",Office Supplies,Printer Paper,What is a good option for high-quality paper for office printing and copying needs?,3364503,paper bulk buyers,"Office Depot Brand Copy Print Paper, Letter Size Paper, 20 Lb, 500 Sheets Per Ream, Case Of 10 Reams","You and your office go through reams of paper in no time flat. By stocking up on Office Depot copy and print paper, you can save your employees time and frustration. It is always handy to keep a ream of Office Depot printer paper nearby. 104 (Euro), 92 (U.S.) brightness for vivid text and images. Office Depot paper provides the trusted performance you require for your printing, copying and faxing applications. Case of copy and print paper provides value and saves time by eliminating the need for frequent restocking. Copy and print paper in letter-size is ideal for everyday office use. Reliable letter-size 20-lb paper includes 500 sheets per ream in a case of 10 reams for your general business needs.",officedepot.com,Office Depot,Office Depot,0,[IMG_CATEID_893]
2100,1856805,Lenox Landmark Platinum Frosted (Stainless) Pierced Tablespoon (Serving Spoon),Home & Kitchen,Tableware,What are some elegant options for serving utensils that match a modern dining setup?,2013400,5 ml per tablespoon,Lenox Landmark Platinum Frosted (Stainless) Pierced Tablespoon (Serving Spoon),"Stainless,18/8,18/10,Frostedhdl,Glossbwl. Pierced Tablespoon (Serving Spoon) in the Landmark Platinum Frosted (Stainless) pattern by Lenox",replacements.com,"Replacements, Ltd.",Lenox,0,[IMG_CATEID_1482]
2101,3299887,"Twinings, Classics, Gunpowder Green Loose Tea, 3.53 oz (100 g)",Food & Beverage,Tea,What are some options for enjoying a full-bodied green tea with a mellow taste?,3828274,4c cap it,"Twinings, Classics, Gunpowder Green Loose Tea, 3.53 oz (100 g)",Established 1706 A Full Bodied Green Tea With a Clear Golden Color and Mellow Aromatic Taste Light Flavor Strength,iherb.com,iHerb Inc,Twinings,0,[IMG_CATEID_399]
2102,1671439,"Men's Havanera Guayabera Embroidered Four-Pocket Button-Down Shirt, Size: Small, Blue",Fashion,Men's Clothing,Where can I find a stylish and comfortable button-down shirt for men?,788806,mens guayabera shirts,"Men's Havanera Guayabera Embroidered Four-Pocket Button-Down Shirt, Size: Small, Blue","Relax in style with this comfy button-down shirt from Havanera. Embroidered details Cuffed sleeves Button front 4-pocket Short sleeves Fabric & Care Cotton, polyester Machine wash Imported Size: S. Color: Blue. Gender: Male. Age Group: Adult. Pattern: Pattern. Material: Cotton / Poly.",kohls.com,Kohl's,Havanera,1,[IMG_CATEID_776]
2103,2375962,Water Worker 4.4 Gal. Water Heater Expansion/Safety Tank,Home Improvement,Plumbing,How can I prevent water pressure issues in my home plumbing system?,1369990,st-12 expansion tank,Water Worker 4.4 Gal. Water Heater Expansion/Safety Tank,Thermal / hot water heater expansion tanks prevent hot water from back flowing into cold water line or from escaping through the pressure relief valve and onto the floor. Prevents constant fluctuations in water pressure that damage the heater and associated piping. National plumbing code mandates installation when a backflow preventer is present.,homedepot.com,Home Depot,Water Worker,0,[IMG_CATEID_1965]
2104,131031,Wei 6 Inch Curved Rim Plate/Set of 24,Home & Kitchen,Tableware,Where can I find quality plates for a dinner party?,4383765,lu wei china,Wei 6 Inch Curved Rim Plate/Set of 24,DescriptionWei 6 Inch Curved Rim Plate/Set of 12Dessert Plates,voltagesearch.com,Pricefalls,Thunder Group,0,[IMG_CATEID_1177]
2105,565313,Whirlpool - Duet 7.3 Cu. Ft. 9-Cycle Steam Electric Dryer - White,Home Appliances,Laundry Appliances,What are some advanced features to look for in a modern clothes dryer?,4632896,Washer and Dryer on Sale,Whirlpool - Duet 7.3 Cu. Ft. 9-Cycle Steam Electric Dryer - White,"Whirlpool Duet 7.3 Cu. Ft. 9-Cycle Steam Electric Dryer: Spend less time in the laundry room with this 7.3 cu. ft. dryer. Cut down on ironing with the Wrinkle Shield Plus option with Steam, which keeps wrinkles from setting into your clothes. And when you need an outfit ready fast, choose the Steam Refresh cycle to reduce wrinkles and odors without rewashing. Front-panel electronic tap-touch controls; 9 cycles; steam refresh and sanitize cycles; Wrinkle Shield Plus and EcoBoost options; powdercoat drum Color: White.",bestbuy.com,Best Buy,Whirlpool,1,[IMG_CATEID_612]
2106,3263598,E A Dion Emblematic Jewelry Salesman Sample Kit,Fashion & Accessories,Jewelry,Where can I find unique corporate-themed jewelry pieces for gifting?,4619906,emblimatic,E A Dion Emblematic Jewelry Salesman Sample Kit,"E.A. Dion Corporate Logo Emblematic Jewelry Salesman Sample Kit Features Pin Back Emblems for Companys and Organizations like: Visa, Swagelok, J.R.Watkins, Pere Marquette, KFC, RBC Michael Jordan 2002 Celebrity Invitational and more also a key holder for Ohio Farmers Insurance Co. 18 pieces total For sizing Large key ring emblem is approx.1 1/2"" dia. Good, clean condition a little minor scuffing on case Smoke free & pet free home! Buyer to pay shipping on 3 pounds from 48327 Powered by eBay Turbo Lister The free listing tool. List your items fast and easy and manage your active items.",ebay.com,eBay,Dion,0,[IMG_CATEID_348]
2107,630934,The Foldaway Resistance Gym.,Fitness & Exercise,Home Gym Equipment,What are some compact solutions for a full-body workout at home?,1179239,strength training products,The Foldaway Resistance Gym.,"This is the resistance exercise machine that provides a total body workout yet folds up to a remarkably slim 6 \u00BD"" for easy storage. Combining the strength-building capability of several bulkier machines, this deceivingly comprehensive trainer uses three sets of interchangeable elastic bands of increasing resistance to enable 50 different exercises for arms, back, shoulders, legs, and abdominals. When finished, the trainer folds up easily and tucks out of the way. Includes an instructional workout guide and a DVD for a structured exercise regimen. Sturdy 100% carbon steel construction supports up to 350 lbs. Folded dimensions: 35"" H x 21"" W x 6 1/2"" D. (17 lbs.)",hammacher.com,Hammacher Schlemmer,Hammacher Schlemmer,1,[IMG_CATEID_535]
2108,1408831,"Toshiba - 32"" Class - LED - 720p - HDTV",Electronics,Televisions,What features should I look for in a good quality LED TV for my living room?,1159354,best cheap tv 2019,"Toshiba - 32"" Class - LED - 720p - HDTV","Enjoy immersive audiovisual entertainment with this 32-inch Toshiba LED TV. The 60Hz refresh rate delivers fluid transitions, while the USB and two HDMI inputs connect to external sources. This Toshiba LED TV features two 6W speakers for high-quality audio delivery, and the wide 178-degree viewing ensures comfortable watching from multiple sitting positions.",bestbuy.com,Best Buy,Toshiba,1,[IMG_CATEID_996]
2109,2048109,Customized Wall Decals,Home & Living,Home Decor,How can I personalize my living space with unique wall art?,650043,wall stickers,Customized Wall Decals,"1 pc 20"" x 30"" Customized Wall Decals printed in Adhesive Fabric front only. Create your custom posters online or upload your own poster design. Fast and reliable print turnaround times with local pick up option. Free proofs before you pay. Professional level custom poster printing with UPrinting.com",uprinting.com,UPrinting.com,UPrinting,1,[IMG_CATEID_2236]
2110,872064,"Frigidaire 18 in. Portable Dishwasher in Black with Stainless Steel Tub, Energy Star, Black",Home Appliances,Dishwashers,What are some compact solutions for efficient dishwashing in small kitchens?,170968,amazon portable dishwasher,"Frigidaire 18 in. Portable Dishwasher in Black with Stainless Steel Tub, Energy Star, Black","The Frigidaire 18 in. portable dishwasher features a tall tub design with 10 place settings that allow you to wash more at once. 6 easy-to-use cleaning cycle options can handle all your dishwashing needs, including delicate china and crystal. The dishwasher features a durable, long lasting stainless steel interior. Color: Black.",homedepot.com,Home Depot,Frigidaire,1,[IMG_CATEID_3689]
2111,89621,"RMP Knife Making Blank - 1074/1075 High Carbon Steel Billets, 1.5"" x 12"" x .187"", 1 per Pack",Crafts & DIY,Knife Making Supplies,What materials are best for making a durable custom knife?,3659070,HIGH CARBON STEEL FOR SALE,"RMP Knife Making Blank - 1074/1075 High Carbon Steel Billets, 1.5"" x 12"" x .187"", 1 per Pack","Create your own custom knife that will last a lifetime. Made from high carbon steel, this RMP knife billet sharpens easily, resists chipping, and holds a great edge.",etsy.com,Etsy,RoseMetalSupply,1,[IMG_CATEID_2869]
2112,2765282,"Today is Special, Words, Sentiments Metal Cutting Die, Die, Card Making Die, Scrapbooking Die, Metal Die Cutter, Emboss",Arts & Crafts,Scrapbooking Supplies,What tools can I use to create intricate designs in my scrapbooking projects?,2002856,card made with die cuts,"Today is Special, Words, Sentiments Metal Cutting Die, Die, Card Making Die, Scrapbooking Die, Metal Die Cutter, Emboss","Metal Die Cutter and Emboss. Measurements: See photos with ruler.Compatible with manual die cutting machines such as Sizzix, Cuttlebug and Spellbinder machines.Sample included!To see other great metal die cutters visit my section at https://www.etsy.com/shop/PoshPaperSupplies?ref=seller-platform-mcnav&section_id=23062591Thanks for looking!",etsy.com,Etsy,PoshPaperSupplies,0,[IMG_CATEID_3058]
2113,1158959,Progress P5763-86 Prairie 1 Light 9 inch Burnished Chestnut Outdoor Wall Lantern,Home & Garden,Outdoor Lighting,What are some stylish options for outdoor wall lights to enhance my home's exterior?,113850,progressive,Progress P5763-86 Prairie 1 Light 9 inch Burnished Chestnut Outdoor Wall Lantern,"This 1 light Outdoor Wall Lantern from the Prairie collection by Progress will enhance your home with a perfect mix of form and function. The features include a Burnished Chestnut finish applied by experts. Product Features Include: Brand: Progress, Collection: Prairie, SKU: P5763-86, UPC: 785247120093, Category: Outdoor Wall Lights, Finish: Burnished Chestnut, Glass: Clear Seeded, Width: 6.38 in., Height: 9.12 in., Extension/Depth: 8.50 in., Backplate/Canopy Width: 0.00 in., Backplate/Canopy Length: 0.00 in., Weight: 4.60 lb., Bulbs Included: No, Primary Bulb(s): 1 x 100 watts Medium Medium Base, Voltage: 120V, Safety Rating: UL-CUL Wet",lightingnewyork.com,Lighting New York,Progress,0,[IMG_CATEID_3174]
2114,1840590,03-06 Chevy Silverado 1500/2500/3500 /2500HD / 03-07 1500HD Headlights,Automotive,Vehicle Lighting,How can I upgrade my truck's headlights for better performance and style?,547310,chevy truck replacement headliners,03-06 Chevy Silverado 1500/2500/3500 /2500HD / 03-07 1500HD Headlights,"03-06 Chevy Silverado 1500/2500/3500 /2500HD / 03-07 1500HD / Crystal Headlights w/ Bumper Lights - Black Smoke (Pair) by SPYDER. Product color is Black Smoke. Fits vehicle make of Chevy and vehicle model(s) of Silverado. Custom upgrade for that unmistakable popular style that looks and performs like upscaled headlights on luxurious vehicles! High-quality built for compatibility and durability. 100% DOT/SAE Approved and OEM quality certified ensure excellent quality fitment and long lasting headlights. Includes both left and right side of the lights. Precision manufactured to the factory OEM specifications of your vehicle for plug & play installation and easy fitment. Simply remove factory headlights and bolt in these new , plug them in to your factory headlight harness and they are ready to go. Innovative styling and features will be instantly noticed and set your car apart from factory models. Waterproof, Shock-proof, UV protection polycarbonate lenses that will help to outlast and outshine other aftermarket lights. FEATURES: Fraction of OEM part cost Innovative and Unique Designs Designed with CAD computerized equipment and tested using 3D testing machine to insure precise and accurate development and design of our headlights for 100% perfect fitment Direct Plug and Play bolt-on on part Use with your existing halogen bulbs in factory headlights HID Xenon lighting upgrade is available for maximum performance INCLUDES: Left & Right headlight assemblies INSTALL AND SUPPORT: For installation guides and technical support of this item, please click here . ADDITIONAL INFO: Click here for FAQ about aftermarket headlights. Manufacturer part number is HD-JH-CSIL03-AM-BSM-SET",xtralights.com,Xtralights,SPYDER,0,[IMG_CATEID_1025]
2115,713739,The Lodge Collection 4-Piece Living Room Furniture Set,Home & Furniture,Living Room Furniture,What are some stylish and durable furniture options for a cozy living room?,710169,buy used furniture,The Lodge Collection 4-Piece Living Room Furniture Set,"When purchasing the 4-piece set instead of separate items, you save $200! Bring the warmth of a mountain lodge into your home or cabin. The Lodge Collection Living Room Furniture Set features striking nail head accents and long-lasting, solid wood...",pricegrabber.com,Bass Pro Shops,Bass Pro Shops,0,[IMG_CATEID_3366]
2116,1480030,Metal Plus Big Boys Standing Seam Roofing Bracket,Tools & Home Improvement,Roofing Equipment,What are some reliable tools for safely installing metal roofing?,1466373,charcoal metal roofing,Metal Plus Big Boys Standing Seam Roofing Bracket,"Stellavolta.com is an authorized dealer and we only sell new products. Review this product's handling time by clicking on the ""Shipping and Payments"" tab above. Ships primarily via USPS, however, we may ship UPS Ground or FedEx Ground. Faster shipping options available. We accept PayPal and all major credit cards. Awarded ""Best New Product of the Year"" at 2012 International Roofing Expo. There is no doubt this is The Worlds Best Standing Seam Metal Roofing Bracket and best of all, it's made in the U.S.A.! The anchor installs on seams at least 1"" and up to 2"" on a snap-lock or mechanical standing seam. (Note: This product is not compatible where there is a nailing fin under the seam.) Features Adjusts from 3/12 to 24/12 slope Has double start crank shaft system which you can adjust one degree at a time Has a high grade powder coating to prevent corrosion Has custom designed rubber pads to prevent roof damage Designed strictly for a 2 X 12 aluminum plank Once the aluminum plank is installed",ebay.com,eBay,Metal Plus LLC,0,[IMG_CATEID_197]
2117,2706813,Clarks Esha Marigold,Fashion,Footwear,What are some comfortable yet stylish shoe options for women?,380385,tieks shoes,Clarks Esha Marigold,"Women's Clarks Leather Slip-On Wedge Loafers. Keep your look casually stylish and your feet comfy with the Clarks Esha Marigold! These leather loafers feature stylish overlay detailing, squared toe, and a cushioned OrthoLite? footbed. With a low wedge and dual elastic stretch panels, the Clarks Esha Marigold will keep you smiling from sunup to sundown!",shoecarnival.com,Shoe Carnival,Clarks,0,[IMG_CATEID_323]
2118,2864139,2007 Mack CV513 T/A Mixer Truck,Automotive,Commercial Trucks,What should I consider when looking for a reliable mixer truck for construction projects?,2362804,mack trucks therodynemack trucks,2007 Mack CV513 T/A Mixer Truck,"3 Removable Chutes, Air Ride Cab, Steerable Air Lift Pusher Axle, Beam Type Suspension, Mack AI 12.0L Engine, Mack 8 Speed Manual Transmission, 252"" Wheel Base, 6x4, 20,000 lb. Front Axle, 38,000 lb. Rears, 71,200 lb. GVWR, Sun Visor, Air Conditioning, Cruise Control, Power Mirrors, Heated Mirrors, Air Ride Drivers Seat, Tilt Steering Wheel",catchmarketingservices.com,IronPlanet,Mack,0,[IMG_CATEID_2462]
2119,3288926,"Gildan 64000 Mens Gildan Softstyle T-Shirt, Indigo Blue - Extra Large",Apparel & Accessories,Men's Clothing,Where can I find stylish and comfortable T-shirts for men?,1764936,Gildan Soft Style Colors,"Gildan 64000 Mens Gildan Softstyle T-Shirt, Indigo Blue - Extra Large","Life is too short to wear boring clothes. Make your wardrobe more interesting with our outstanding range of Apparels. We provide you with T-shirts, Fleece, Active wear and other accessories. Our artisans also work on manufacturing products that complement your outfit. Our adorable style of clothing elevates your personal outlook. Be the second to none with our stunning variety of apparels and accessories.Features4.5-oz, 100% Ring Spun CottonSeamless Double-Needle 3/4 NeckTaped Neck and ShouldersTearaway LabelRolled Forward Shoulders for Better FitDouble-Needle Sleeves and HemSpecificationsGender: MensColor: Indigo BlueSize: Extra LargeDimension: 3.65 H x 3.65 W x 3.65 LWeight: 0.35 lbs",voltagesearch.com,Pricefalls,Gildan,1,[IMG_CATEID_688]
2120,3247053,Colourful Shiny Metallic Mermaid Tail Cosplay Party Costume,Apparel & Accessories,Costumes & Cosplay,Where can I find unique costumes for themed parties?,60588,mermaid tail,Colourful Shiny Metallic Mermaid Tail Cosplay Party Costume,"Types:Party Costume,Cosplay Costumes; Characters:Mermaid Tail,Fairytale; Material:Shiny Metallic,Lycra; Holiday:Halloween; Color:Golden,Purple,Red,Fuschia,Sky Blue,Blue,Orange,Light Green,Green,Pink,Silver; Includes:Tail; Gender:Unisex; Net Weight (kg):0.250909; Waist (cm):78; Hip (cm):90; Length (cm):100-150cm; Pattern:Solid; Cleaning Care:Machine Wash,Hand Wash; Dimensions(cm):22.3636X19.7273X3.09091",miniinthebox.com,miniinthebox,Miniinthebox,1,[IMG_CATEID_4287]
2121,353010,- The Dandy Warhols Come Down By The Dandy Warhols,Entertainment,Music CDs,Where can I find new releases from alternative rock bands on CD?,1555159,candy is dandy,- The Dandy Warhols Come Down By The Dandy Warhols,Item Details Category: AudioCD Format: Audio CD Condition: New! Other notes: (Item #ZB000002U2SZN|0) - Multi Channel Selling,ebay.com,eBay,Other,0,[IMG_CATEID_468]
2122,39622,Hunter Women's Women's Original Tall Matte Rain Boots - Black - Size 11,Fashion,Footwear,What are some stylish options for waterproof boots that can handle heavy rain?,1365961,hunter boots,Hunter Women's Women's Original Tall Matte Rain Boots - Black - Size 11,"Let it rain, let it pour, these waterproof rubber essentials will keep you dry through it all. Heel, ¾"" (20mm) Shaft, 15½"" Leg circumference, 16¼"" Buckle and logo detail on upper Liner sold separately Padded insole Rubber sole Imported OUR FIT MODEL RECOMMENDS ordering true whole size; ½ sizes should order the next whole size down. NOTE: During the manufacturing of the natural rubber compound used to make Hunter boots, a white wax is inserted into the mix to help protect the rubber. During certain conditions, this wax can be brought to the surface giving the boots a white, cloudy look known as ""blooming"". It does this to protect the rubber from drying out. This is a natural characteristic of the boot, not a defect, and can be wiped off with a damp cloth. Further instructions are enclosed with boots. Women's Shoes - Cold Weather > Saks Fifth Avenue. Hunter. Color: Black. Size: 11.",saksfifthavenue.com,Saks Fifth Avenue,Hunter,1,[IMG_CATEID_339]
2123,115194,"Men's New York Islanders Reebok Primary Logo T-Shirt - Gray, Size: S",Apparel & Accessories,Sports Fan Apparel,Where can I find clothing to show support for my favorite hockey team?,3639920,new york islanders clothing,"Men's New York Islanders Reebok Primary Logo T-Shirt - Gray, Size: S","Your New York Islanders spirit doesn't need any fancy frills, just a bold logo printed across the front of your shirt for all to see. Everyone you meet knows right away that you are a true blue fan with this Reebok Primary Logo t-shirt. This shirt is sure to continue spreading your New York Islanders fandom long after you have lost your voice.",fanatics.com,Fanatics,Reebok,1,[IMG_CATEID_1477]
2124,3187707,"300 Miles Range HDTV Antenna, TV Antenna Indoor Amplified Digital H...",Electronics,Television Accessories,How can I get more TV channels without paying for cable?,617152,antenna tv,"300 Miles Range HDTV Antenna, TV Antenna Indoor Amplified Digital H...","300 Miles Range HDTV Antenna, TV Antenna Indoor Amplified Digital HD Antenna Free Channels - High ReceptionProduct Description:Model:Indoor HDTV AntennaColor: BlackHow to Use:Step 1: connect the end(f-male) of attached coaxial cable to the ANT/IN...",bizrate.com,Walmart.com,BAGGUCOR,1,[IMG_CATEID_622]
